# FRED pull 2026-06-24 (1985-01-01..2019-12-31)
DATE,x,pi,i
1996-01-01,-0.3765611426693738,0.3924007326481238,1.3408333333333333
1996-04-01,0.4867228783124844,0.4743580357329691,1.3108333333333333
1996-07-01,0.5430913594263842,0.45512686785045275,1.3266666666666667
1996-10-01,0.6975353551768038,0.5676538160817479,1.32
1997-01-01,0.42512145750617236,0.39208296608270743,1.3191666666666666
1997-04-01,1.1332689922504358,0.5203973469884104,1.3808333333333334
1997-07-01,1.400055588244875,0.23320537742996805,1.3833333333333335
1997-10-01,1.2549509023953576,0.3159560290368013,1.3766666666666667
1998-01-01,1.2397113531875448,0.29420955348324895,1.38
1998-04-01,1.1285864300141668,0.30576134853141923,1.375
1998-07-01,1.339770052050504,0.35432222528246626,1.3833333333333335
1998-10-01,1.8855023784384528,0.3183681759614032,1.215
1999-01-01,1.7586825777589965,0.2504134953573711,1.1833333333333333
1999-04-01,1.529802432444427,0.34653252379035493,1.1866666666666668
1999-07-01,1.790403759411241,0.36750169941628386,1.2733333333333334
1999-10-01,2.3597338883396546,0.46930435179843855,1.3266666666666667
2000-01-01,1.667956426817696,0.5226610074186233,1.4191666666666667
2000-04-01,2.4516394247521944,0.34826806661270027,1.5683333333333334
2000-07-01,1.5776295997319778,0.4812828039133521,1.63
2000-10-01,1.2469099833991137,0.494005386441998,1.6183333333333334
2001-01-01,0.04305429940067995,0.6480213161959014,1.3983333333333334
2001-04-01,-0.15096382802770592,0.3773581114207225,1.0816666666666668
2001-07-01,-1.3063726889850358,0.25776475557206524,0.8741666666666666
2001-10-01,-1.7304796834013203,0.48141679735413945,0.5333333333333333
2002-01-01,-1.5478301217443757,0.30653125839839035,0.43333333333333335
2002-04-01,-1.5524042287355044,0.5487106579431078,0.4375
2002-07-01,-1.7407035942341054,0.5320132175845593,0.435
2002-10-01,-2.198352124196745,0.35481646636164044,0.36083333333333334
2003-01-01,-2.253190250269732,0.30805242074478656,0.3125
2003-04-01,-1.957765139387746,0.37833235153010847,0.3116666666666667
2003-07-01,-0.8991340270190662,0.45667392986645794,0.25416666666666665
2003-10-01,-0.3498269521365671,0.4470381743913343,0.24916666666666668
2004-01-01,-0.4055709989387424,0.5486924760659484,0.2508333333333333
2004-04-01,-0.2628823518874057,0.5697902449227854,0.2525
2004-07-01,0.04015171438531695,0.3573742215836617,0.35833333333333334
2004-10-01,0.4061641903795987,0.5406757155764552,0.4875
2005-01-01,0.8710006320400865,0.7091631975472801,0.6175
2005-04-01,0.7414110598988444,0.4941301639194151,0.7358333333333333
2005-07-01,0.9101541884476205,0.38885442621383604,0.8649999999999999
2005-10-01,0.8642366974097371,0.6662142225367873,0.995
2006-01-01,1.616482354282489,0.5774181567852921,1.1141666666666667
2006-04-01,1.3075173930252149,0.793457277941112,1.2266666666666668
2006-07-01,0.9175328045810005,0.5372089601288543,1.3116666666666668
2006-10-01,1.2601615616674167,0.4298218190991854,1.3116666666666668
2007-01-01,1.047552809658292,0.687174837950355,1.3141666666666667
2007-04-01,1.1448535909197588,0.41533767856281045,1.3125
2007-07-01,1.2063304305627298,0.4898709876023588,1.2683333333333333
2007-10-01,1.329977916358338,0.6890369792538209,1.1241666666666668
2008-01-01,0.40589163098747605,0.5281101910867392,0.7941666666666666
2008-04-01,0.5258324426854699,0.41919506629986003,0.5216666666666666
2008-07-01,-0.44670886484823313,0.5091330127974913,0.48500000000000004
2008-10-01,-3.07358571157188,-0.07880101636761339,0.12666666666666668
2009-01-01,-4.590041174437154,-0.0011370075099215171,0.04583333333333334
2009-04-01,-5.113369322122097,0.3907473987151633,0.045000000000000005
2009-07-01,-5.08190346672226,0.35424680537969877,0.03916666666666666
2009-10-01,-4.314372784007325,0.6210408110038479,0.03
2010-01-01,-4.1425807594368536,0.34150043172580524,0.03333333333333333
2010-04-01,-3.4999535317583153,0.26901891355732843,0.04833333333333334
2010-07-01,-3.069840330932294,0.1537187991822897,0.04666666666666667
2010-10-01,-2.8984959906141583,0.3156072497800366,0.04666666666666667
2011-01-01,-3.5031870842759716,0.4380476825652124,0.03916666666666667
2011-04-01,-3.2057356892988054,0.5830470726890802,0.023333333333333334
2011-07-01,-3.614281771189276,0.4554751546693936,0.020833333333333332
2011-10-01,-2.8968217533574148,0.3557751676448895,0.018333333333333337
2012-01-01,-2.474538050583952,0.6291400692663096,0.025833333333333333
2012-04-01,-2.4517848310166457,0.41268653745749617,0.03833333333333334
2012-07-01,-2.73567395200196,0.2885155660916183,0.035833333333333335
2012-10-01,-3.0542181796791468,0.4412082083905311,0.04
2013-01-01,-2.517864186459562,0.3898862520237856,0.035833333333333335
2013-04-01,-2.7005865463280543,0.2817642994593861,0.029166666666666664
2013-07-01,-2.305869978461317,0.39257622532202774,0.020833333333333332
2013-10-01,-1.8992990712208169,0.4300612270612625,0.021666666666666667
2014-01-01,-2.7149867113349657,0.31546819110266355,0.018333333333333337
2014-04-01,-1.90624031746367,0.43559496380440876,0.023333333333333334
2014-07-01,-1.1832176751921608,0.3749906468480724,0.022500000000000003
2014-10-01,-1.1712999473402874,0.2707056654947415,0.024999999999999998
2015-01-01,-0.7748458687018456,0.16691661855716688,0.0275
2015-04-01,-0.6618714384462265,0.44467226959872264,0.030833333333333334
2015-07-01,-0.769229673187688,0.32122409079642367,0.03416666666666667
2015-10-01,-1.0946089548667715,0.2489772988506722,0.04
2016-01-01,-1.0291345315016187,0.4180237999542591,0.09000000000000001
2016-04-01,-1.21897172031602,0.5469717667295981,0.09333333333333334
2016-07-01,-1.0170608167745954,0.43293407927560423,0.09916666666666667
2016-10-01,-0.9642219923797768,0.3439256734939278,0.1125
2017-01-01,-0.9761679764071829,0.46310138494778386,0.17500000000000002
2017-04-01,-0.9130507959156375,0.3338197665179621,0.23750000000000002
2017-07-01,-0.6239216227427846,0.3017518890155557,0.28833333333333333
2017-10-01,-0.0019161041839410586,0.44380146986329194,0.30083333333333334
2018-01-01,0.3036370635248531,0.6343689499838767,0.36166666666666664
2018-04-01,0.3213751214413918,0.5354123137583322,0.43416666666666665
2018-07-01,0.42958844230032156,0.3182440079759097,0.4808333333333333
2018-10-01,0.05182321162298109,0.46588690583853065,0.555
2019-01-01,0.14624538313476876,0.4002937801276474,0.6008333333333333
2019-04-01,0.45031818883636276,0.42158918953036917,0.5991666666666666
2019-07-01,1.0884892549059444,0.3706901906051385,0.5475
2019-10-01,1.2593723201238305,0.35075942918068037,0.41083333333333333
